Date : 2021_04_40_03:54
Random Seed : 2
(28.5, 37.5)
(28.6, 29.0)
(28.6, 30.1)
(28.6, 32.5)
(28.8, 29.4)
(28.9, 28.1)
(28.9, 28.7)
(28.9, 32.0)
(29.1, 34.7)
(29.4, 30.3)
(29.5, 29.2)
(29.5, 38.8)
(30.1, 37.2)
(30.3, 36.0)
(30.6, 28.6)
(30.7, 41.3)
(30.9, 29.7)
(31.4, 34.8)
(31.4, 41.0)
(32.0, 32.7)
(32.2, 32.5)
(32.3, 35.8)
(32.4, 34.3)
(32.8, 30.7)
(34.0, 33.9)
(34.2, 33.3)
(34.3, 31.8)
(34.4, 33.4)
(34.5, 31.2)
(34.8, 40.2)
(34.9, 33.8)
(35.3, 36.6)
(35.8, 39.4)
(35.9, 33.3)
(35.9, 35.7)
(36.1, 37.7)
(36.3, 31.6)
(36.3, 32.2)
(36.3, 32.4)
(36.7, 28.2)
(36.7, 34.6)
(36.8, 30.8)
(36.9, 39.6)
(37.0, 37.2)
(37.2, 37.2)
(37.3, 29.9)
(37.3, 39.9)
(37.8, 29.1)
(38.2, 31.9)
(38.2, 39.8)
(38.8, 41.4)
(39.0, 38.0)
(39.4, 31.2)
(39.4, 32.1)
(39.4, 38.6)
(39.6, 39.8)
(40.1, 33.7)
(40.4, 33.6)
(40.4, 41.1)
(40.5, 28.7)
(40.5, 35.1)
(40.5, 41.1)
(40.7, 40.8)
(40.8, 34.8)
(40.9, 38.4)
(40.9, 41.2)
(41.0, 37.2)
(41.0, 37.5)
(41.1, 32.6)
(41.1, 37.0)
(41.2, 38.0)
(41.3, 28.0)
(41.4, 37.3)
(41.5, 34.3)
(41.9, 39.3)
